name,address,latitude,longitude,Type,id,webUrl
Colibri chez l 'italien,"rue de Vevey 201, Bulle 1630 Switzerland",46.61333,7.04323,1,4150680,https://www.tripadvisor.com/Restaurant_Review-g652156-d4150680-Reviews-Colibri_chez_l_italien-Bulle_La_Gruyere_Canton_of_Fribourg.html
Osteria du Moleson,"rue de Gruyeres 33, Bulle 1630 Switzerland",46.616104,7.057488,1,3380417,https://www.tripadvisor.com/Restaurant_Review-g652156-d3380417-Reviews-Osteria_du_Moleson-Bulle_La_Gruyere_Canton_of_Fribourg.html
Le Tivoli,"rue du Vieux-Pont 73, Bulle 1630 Switzerland",46.613514,7.061009,1,4150681,https://www.tripadvisor.com/Restaurant_Review-g652156-d4150681-Reviews-Le_Tivoli-Bulle_La_Gruyere_Canton_of_Fribourg.html
Cafe des Alpes - Chez Massimo,"Grand Rue 7, Chateau-d'Oex 1660 Switzerland",46.471783,7.12605,1,13185762,https://www.tripadvisor.com/Restaurant_Review-g580351-d13185762-Reviews-Cafe_des_Alpes_Chez_Massimo-Chateau_d_Oex_Canton_of_Vaud.html
Kalyani Lounge Gruyeres,"rue du Bourg 22 Hôtel Et Restaurant Le Saint Georges, Gruyeres 1663 Switzerland",46.583416,7.081414,1,23570147,https://www.tripadvisor.com/Restaurant_Review-g198820-d23570147-Reviews-Kalyani_Lounge_Gruyeres-Gruyeres_La_Gruyere_Canton_of_Fribourg.html
Le Petit Marrakech,"Route de la Pala, Bulle 1630 Switzerland",46.61428,7.038333,1,15350687,https://www.tripadvisor.com/Restaurant_Review-g652156-d15350687-Reviews-Le_Petit_Marrakech-Bulle_La_Gruyere_Canton_of_Fribourg.html
Etna Pizza,"route de Riaz 34, Bulle 1630 Switzerland",46.623604,7.058744,1,8134819,https://www.tripadvisor.com/Restaurant_Review-g652156-d8134819-Reviews-Etna_Pizza-Bulle_La_Gruyere_Canton_of_Fribourg.html
Le Richemont,"Grand Rue 5, Chateau-d'Oex 1660 Switzerland",46.471493,7.12573,1,6155922,https://www.tripadvisor.com/Restaurant_Review-g580351-d6155922-Reviews-Le_Richemont-Chateau_d_Oex_Canton_of_Vaud.html
Le Relais Restaurant Pizzeria Ruby,"Grand Rue 62, Chateau-d'Oex 1660 Switzerland",46.473454,7.12972,1,19799938,https://www.tripadvisor.com/Restaurant_Review-g580351-d19799938-Reviews-Le_Relais_Restaurant_Pizzeria_Ruby-Chateau_d_Oex_Canton_of_Vaud.html
Le Pra,"Rue De La Porte D'en Bas 8, La Tour-de-Treme 1635 Switzerland",46.605644,7.070236,1,23767076,https://www.tripadvisor.com/Restaurant_Review-g4277996-d23767076-Reviews-Le_Pra-La_Tour_de_Treme_Canton_of_Fribourg.html
Le Code Bar,"route de Pra Riond 2, La Tour-de-Treme 1635 Switzerland",46.600487,7.075685,1,4275487,https://www.tripadvisor.com/Restaurant_Review-g4277996-d4275487-Reviews-Le_Code_Bar-La_Tour_de_Treme_Canton_of_Fribourg.html
Trattoria Rougemont,"rue des Allamans 9, Rougemont 1659 Switzerland",46.489765,7.211192,1,14985371,https://www.tripadvisor.com/Restaurant_Review-g1130644-d14985371-Reviews-Trattoria_Rougemont-Rougemont_Canton_of_Vaud.html
Casa Bairrada Steakhouse,"rue de l'Etang 3 3, Bulle 1630 Switzerland",46.62325,7.067777,1,23433467,https://www.tripadvisor.com/Restaurant_Review-g652156-d23433467-Reviews-Casa_Bairrada_Steakhouse-Bulle_La_Gruyere_Canton_of_Fribourg.html
Restaurant de La Croix-Blanche,"Route de l_Intyamon 336 Epagny, Gruyeres 1663 Switzerland",46.588345,7.084436,1,7317894,https://www.tripadvisor.com/Restaurant_Review-g198820-d7317894-Reviews-Restaurant_de_La_Croix_Blanche-Gruyeres_La_Gruyere_Canton_of_Fribourg.html
Abri des Marches,"route des Marches 16, Broc 1636 Switzerland",46.592533,7.101264,1,3546446,https://www.tripadvisor.com/Restaurant_Review-g1140517-d3546446-Reviews-Abri_des_Marches-Broc_La_Gruyere_Canton_of_Fribourg.html
Hotel-Restaurant de Ville de Broc,"Route de Monsalvant 1 Hotel de Ville, Broc 1636 Switzerland",46.60352,7.099524,1,13523464,https://www.tripadvisor.com/Restaurant_Review-g1140517-d13523464-Reviews-Hotel_Restaurant_de_Ville_de_Broc-Broc_La_Gruyere_Canton_of_Fribourg.html
L'Unique Tartare,"rue de Vevey 15, Bulle 1630 Switzerland",46.61663,7.05578,1,12334952,https://www.tripadvisor.com/Restaurant_Review-g652156-d12334952-Reviews-L_Unique_Tartare-Bulle_La_Gruyere_Canton_of_Fribourg.html
